core id num=1
ROM : START=0x0 SIZE=2048
RAM : START=0x200000 SIZE=2048
RAM : START=0x5ff7000 SIZE=10240
RAM : START=0x7ff7000 SIZE=10240
ELF SET CACHE RIGION:addr=0x0 size=80 [KB]
Elf loading was succeeded:0x0 - 0x14228 : 80.552 KB
Elf loading was succeeded:0x14228 - 0x146fc : 1.212 KB
ELF SYMBOL SECTION LOADED:index=21
ELF SYMBOL SECTION LOADED:sym_num=1056
ELF STRING TABLE SECTION LOADED:index=22
[ l_app runner: V850E2M VCPU is powered on ]
DEBUG_FUNC_VDEV_TX_IPADDR = 127.0.0.1
VDEV:TX IPADDR=127.0.0.1
VDEV:TX PORTNO=54001
VDEV:RX IPADDR=127.0.0.1
VDEV:RX PORTNO=54002
DEVICE_CONFIG_COMPLEMENTAL_TX_SENDING=1
DEVICE_CONFIG_RESET_AREA_OFFSET=68
DEVICE_CONFIG_RESET_AREA_SIZE=20
DEBUG_FUNC_FT_LOG_SIZE=1024
athrill_device_func_call=0x2004d0
[ l_app runner: Athrill2 is booted up ]
brick_dri initialized.
_____   ______ ___  ______
/ __/ | / /_  // _ /_  __/
/ _/ | |/ //_ </ , _/ / /
/___/ |___/____/_/|_| /_/

====================>Beta 7<=

Powered by TOPPERS/ASP3 RTOS of Hakoniwa
Initialization is completed..
[ l_app runner: EV3RT is booted up ]
[ l_app runner: EV3RT boot time: 0 secs. ]
反射値: 27, target: 17, 誤差: -10, 左: 0, 右: 20
反射値: 25, target: 17, 誤差: -8, 左: 100, 右: -100
反射値: 25, target: 17, 誤差: -8, 左: 2, 右: 18
反射値: 25, target: 17, 誤差: -8, 左: 2, 右: 18
反射値: 25, target: 17, 誤差: -8, 左: 2, 右: 18
反射値: 25, target: 17, 誤差: -8, 左: 2, 右: 18
反射値: 25, target: 17, 誤差: -8, 左: 2, 右: 18
反射値: 25, target: 17, 誤差: -8, 左: 2, 右: 18
反射値: 25, target: 17, 誤差: -8, 左: 2, 右: 18
反射値: 24, target: 17, 誤差: -7, 左: 82, 右: -62
反射値: 24, target: 17, 誤差: -7, 左: 3, 右: 17
反射値: 23, target: 17, 誤差: -6, 左: 83, 右: -63
反射値: 23, target: 17, 誤差: -6, 左: 4, 右: 16
反射値: 23, target: 17, 誤差: -6, 左: 4, 右: 16
反射値: 23, target: 17, 誤差: -6, 左: 4, 右: 16
反射値: 23, target: 17, 誤差: -6, 左: 4, 右: 16
反射値: 23, target: 17, 誤差: -6, 左: 4, 右: 16
反射値: 23, target: 17, 誤差: -6, 左: 4, 右: 16
反射値: 23, target: 17, 誤差: -6, 左: 4, 右: 16
反射値: 22, target: 17, 誤差: -5, 左: 84, 右: -64
反射値: 22, target: 17, 誤差: -5, 左: 5, 右: 15
反射値: 21, target: 17, 誤差: -4, 左: 85, 右: -65
反射値: 21, target: 17, 誤差: -4, 左: 6, 右: 14
反射値: 21, target: 17, 誤差: -4, 左: 6, 右: 14
反射値: 21, target: 17, 誤差: -4, 左: 6, 右: 14
反射値: 21, target: 17, 誤差: -4, 左: 6, 右: 14
反射値: 22, target: 17, 誤差: -5, 左: -75, 右: 95
反射値: 22, target: 17, 誤差: -5, 左: 5, 右: 15
反射値: 22, target: 17, 誤差: -5, 左: 5, 右: 15
反射値: 22, target: 17, 誤差: -5, 左: 5, 右: 15
反射値: 22, target: 17, 誤差: -5, 左: 5, 右: 15
反射値: 20, target: 17, 誤差: -3, 左: 100, 右: -100
反射値: 20, target: 17, 誤差: -3, 左: 7, 右: 13
反射値: 20, target: 17, 誤差: -3, 左: 7, 右: 13
反射値: 19, target: 17, 誤差: -2, 左: 87, 右: -67
反射値: 19, target: 17, 誤差: -2, 左: 8, 右: 12
反射値: 20, target: 17, 誤差: -3, 左: -73, 右: 93
反射値: 20, target: 17, 誤差: -3, 左: 7, 右: 13
反射値: 20, target: 17, 誤差: -3, 左: 7, 右: 13
反射値: 21, target: 17, 誤差: -4, 左: -74, 右: 94
反射値: 21, target: 17, 誤差: -4, 左: 6, 右: 14
反射値: 20, target: 17, 誤差: -3, 左: 86, 右: -66
反射値: 19, target: 17, 誤差: -2, 左: 87, 右: -67
反射値: 19, target: 17, 誤差: -2, 左: 8, 右: 12
反射値: 18, target: 17, 誤差: -1, 左: 88, 右: -68
反射値: 18, target: 17, 誤差: -1, 左: 9, 右: 11
反射値: 17, target: 17, 誤差: 0, 左: 89, 右: -69
反射値: 18, target: 17, 誤差: -1, 左: -71, 右: 91
反射値: 18, target: 17, 誤差: -1, 左: 9, 右: 11
反射値: 18, target: 17, 誤差: -1, 左: 9, 右: 11
反射値: 18, target: 17, 誤差: -1, 左: 9, 右: 11
反射値: 18, target: 17, 誤差: -1, 左: 9, 右: 11
反射値: 18, target: 17, 誤差: -1, 左: 9, 右: 11
反射値: 18, target: 17, 誤差: -1, 左: 9, 右: 11
反射値: 18, target: 17, 誤差: -1, 左: 9, 右: 11
反射値: 18, target: 17, 誤差: -1, 左: 9, 右: 11
反射値: 18, target: 17, 誤差: -1, 左: 9, 右: 11
反射値: 18, target: 17, 誤差: -1, 左: 9, 右: 11
反射値: 17, target: 17, 誤差: 0, 左: 89, 右: -69
反射値: 17, target: 17, 誤差: 0, 左: 10, 右: 10
反射値: 17, target: 17, 誤差: 0, 左: 10, 右: 10
反射値: 18, target: 17, 誤差: -1, 左: -71, 右: 91
反射値: 18, target: 17, 誤差: -1, 左: 9, 右: 11
反射値: 19, target: 17, 誤差: -2, 左: -72, 右: 92
反射値: 19, target: 17, 誤差: -2, 左: 8, 右: 12
反射値: 19, target: 17, 誤差: -2, 左: 8, 右: 12
反射値: 18, target: 17, 誤差: -1, 左: 88, 右: -68
反射値: 16, target: 17, 誤差: 1, 左: 100, 右: -100
反射値: 16, target: 17, 誤差: 1, 左: 10, 右: 10
反射値: 15, target: 17, 誤差: 2, 左: 91, 右: -71
反射値: 15, target: 17, 誤差: 2, 左: 11, 右: 9
反射値: 16, target: 17, 誤差: 1, 左: -69, 右: 89
反射値: 16, target: 17, 誤差: 1, 左: 10, 右: 10
反射値: 16, target: 17, 誤差: 1, 左: 10, 右: 10
反射値: 15, target: 17, 誤差: 2, 左: 91, 右: -71
反射値: 15, target: 17, 誤差: 2, 左: 11, 右: 9
反射値: 14, target: 17, 誤差: 3, 左: 92, 右: -72
反射値: 14, target: 17, 誤差: 3, 左: 12, 右: 8
反射値: 14, target: 17, 誤差: 3, 左: 12, 右: 8
反射値: 14, target: 17, 誤差: 3, 左: 12, 右: 8
反射値: 14, target: 17, 誤差: 3, 左: 12, 右: 8
反射値: 15, target: 17, 誤差: 2, 左: -68, 右: 88
反射値: 15, target: 17, 誤差: 2, 左: 11, 右: 9
反射値: 16, target: 17, 誤差: 1, 左: -69, 右: 89
反射値: 15, target: 17, 誤差: 2, 左: 91, 右: -71
反射値: 15, target: 17, 誤差: 2, 左: 11, 右: 9
反射値: 13, target: 17, 誤差: 4, 左: 100, 右: -100
反射値: 11, target: 17, 誤差: 6, 左: 100, 右: -100
反射値: 11, target: 17, 誤差: 6, 左: 15, 右: 5
反射値: 10, target: 17, 誤差: 7, 左: 96, 右: -76
反射値: 10, target: 17, 誤差: 7, 左: 16, 右: 4
反射値: 10, target: 17, 誤差: 7, 左: 16, 右: 4
反射値: 10, target: 17, 誤差: 7, 左: 16, 右: 4
反射値: 10, target: 17, 誤差: 7, 左: 16, 右: 4
反射値: 10, target: 17, 誤差: 7, 左: 16, 右: 4
反射値: 10, target: 17, 誤差: 7, 左: 16, 右: 4
反射値: 10, target: 17, 誤差: 7, 左: 16, 右: 4
反射値: 9, target: 17, 誤差: 8, 左: 97, 右: -77
反射値: 9, target: 17, 誤差: 8, 左: 17, 右: 3
反射値: 9, target: 17, 誤差: 8, 左: 17, 右: 3
反射値: 9, target: 17, 誤差: 8, 左: 17, 右: 3
反射値: 9, target: 17, 誤差: 8, 左: 17, 右: 3
反射値: 10, target: 17, 誤差: 7, 左: -63, 右: 83
反射値: 10, target: 17, 誤差: 7, 左: 16, 右: 4
反射値: 10, target: 17, 誤差: 7, 左: 16, 右: 4
反射値: 10, target: 17, 誤差: 7, 左: 16, 右: 4
反射値: 9, target: 17, 誤差: 8, 左: 97, 右: -77
反射値: 9, target: 17, 誤差: 8, 左: 17, 右: 3
反射値: 9, target: 17, 誤差: 8, 左: 17, 右: 3
反射値: 10, target: 17, 誤差: 7, 左: -63, 右: 83
反射値: 10, target: 17, 誤差: 7, 左: 16, 右: 4
反射値: 11, target: 17, 誤差: 6, 左: -64, 右: 84
反射値: 12, target: 17, 誤差: 5, 左: -65, 右: 85
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 11, target: 17, 誤差: 6, 左: 95, 右: -75
反射値: 11, target: 17, 誤差: 6, 左: 15, 右: 5
反射値: 10, target: 17, 誤差: 7, 左: 96, 右: -76
反射値: 9, target: 17, 誤差: 8, 左: 97, 右: -77
反射値: 9, target: 17, 誤差: 8, 左: 17, 右: 3
反射値: 10, target: 17, 誤差: 7, 左: -63, 右: 83
反射値: 10, target: 17, 誤差: 7, 左: 16, 右: 4
反射値: 11, target: 17, 誤差: 6, 左: -64, 右: 84
反射値: 12, target: 17, 誤差: 5, 左: -65, 右: 85
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 11, target: 17, 誤差: 6, 左: 95, 右: -75
反射値: 11, target: 17, 誤差: 6, 左: 15, 右: 5
反射値: 11, target: 17, 誤差: 6, 左: 15, 右: 5
反射値: 11, target: 17, 誤差: 6, 左: 15, 右: 5
反射値: 11, target: 17, 誤差: 6, 左: 15, 右: 5
反射値: 12, target: 17, 誤差: 5, 左: -65, 右: 85
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 11, target: 17, 誤差: 6, 左: 95, 右: -75
反射値: 11, target: 17, 誤差: 6, 左: 15, 右: 5
反射値: 11, target: 17, 誤差: 6, 左: 15, 右: 5
反射値: 11, target: 17, 誤差: 6, 左: 15, 右: 5
反射値: 11, target: 17, 誤差: 6, 左: 15, 右: 5
反射値: 12, target: 17, 誤差: 5, 左: -65, 右: 85
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
反射値: 12, target: 17, 誤差: 5, 左: 14, 右: 6
